scenario_id,step_number,field_name,english_text,german_text,spanish_text,portuguese_text,italian_text,turkish_text
EMP_GUS_02_TRAVEL,4,user_input_text,"I would like to book a flight for my business trip. Can you help me ASAP?","Ich möchte einen Flug für meine Geschäftsreise buchen. Können Sie mir so schnell wie möglich helfen?","Me gustaría reservar un vuelo para mi viaje de negocios. ¿Puedes ayudarme lo antes posible?","Gostaria de reservar um voo para minha viagem de negócios. Você pode me ajudar o mais rápido possível?","Vorrei prenotare un volo per il mio viaggio d'affari. Puoi aiutarmi il prima possibile?","İş seyahatim için bir uçuş rezerve etmek istiyorum. Mümkün olan en kısa sürede yardımcı olabilir misiniz?"
EMP_GUS_02_TRAVEL,5,joule_response_text,"Of course! Let's get this sorted with SAP Concur. Could you please tell me your departure city and destination?","Natürlich! Lassen Sie uns das mit SAP Concur regeln. Könnten Sie mir bitte Ihre Abflugstadt und Ihr Ziel nennen?","¡Por supuesto! Vamos a resolverlo con SAP Concur. ¿Podrías decirme tu ciudad de salida y destino?","Claro! Vamos resolver isso com o SAP Concur. Você poderia me dizer sua cidade de partida e destino?","Certo! Risolviamo con SAP Concur. Potresti dirmi la tua città di partenza e destinazione?","Tabii! Bunu SAP Concur ile halledelim. Lütfen bana kalkış şehrinizi ve varış noktanızı söyleyebilir misiniz?"
EMP_GUS_02_TRAVEL,6,user_input_text,"I'm leaving from London and heading to Atlanta.","Ich fliege von London nach Atlanta.","Salgo de Londres y voy a Atlanta.","Estou saindo de Londres e indo para Atlanta.","Parto da Londra e vado ad Atlanta.","Londra'dan ayrılıp Atlanta'ya gidiyorum."
EMP_GUS_02_TRAVEL,7,joule_response_text,"Great! What is your preferred departure date?","Großartig! Was ist Ihr bevorzugtes Abflugdatum?","¡Genial! ¿Cuál es tu fecha de salida preferida?","Ótimo! Qual é a sua data de partida preferida?","Perfetto! Qual è la tua data di partenza preferita?","Harika! Tercih ettiğiniz kalkış tarihi nedir?"
EMP_GUS_02_TRAVEL,8,user_input_text,"Today","Heute","Hoy","Hoje","Oggi","Bugün"
EMP_GUS_02_TRAVEL,9,joule_response_text,"How many days would you like to spend at the destination?","Wie viele Tage möchten Sie am Zielort verbringen?","¿Cuántos días te gustaría pasar en el destino?","Quantos dias você gostaria de passar no destino?","Quanti giorni vorresti trascorrere alla destinazione?","Varış yerinde kaç gün geçirmek istersiniz?"
EMP_GUS_02_TRAVEL,10,user_input_text,"3 nights.","3 Nächte.","3 noches.","3 noites.","3 notti.","3 gece."
EMP_GUS_02_TRAVEL,11,joule_response_text,"Looking for best flight option for Gus from London to Atlanta on 30/01/2025 and from Atlanta to London on 03/02/2025.","Suche nach der besten Flugoption für Gus von London nach Atlanta am 30.01.2025 und von Atlanta nach London am 03.02.2025.","Buscando la mejor opción de vuelo para Gus de Londres a Atlanta el 30/01/2025 y de Atlanta a Londres el 03/02/2025.","Procurando a melhor opção de voo para Gus de Londres para Atlanta em 30/01/2025 e de Atlanta para Londres em 03/02/2025.","Cercando la migliore opzione di volo per Gus da Londra ad Atlanta il 30/01/2025 e da Atlanta a Londra il 03/02/2025.","Gus için Londra'dan Atlanta'ya 30/01/2025'te ve Atlanta'dan Londra'ya 03/02/2025'te en iyi uçuş seçeneği aranıyor."
EMP_GUS_02_TRAVEL,15,joule_response_text,"Is there anything else you need help with before your travel?","Gibt es noch etwas, bei dem ich Ihnen vor Ihrer Reise helfen kann?","¿Hay algo más con lo que necesites ayuda antes de tu viaje?","Há algo mais com que você precise de ajuda antes da sua viagem?","C'è qualcos'altro per cui hai bisogno di aiuto prima del tuo viaggio?","Seyahatinizden önce yardıma ihtiyacınız olan başka bir şey var mı?"
EMP_GUS_02_TRAVEL,16,user_input_text,"What is my daily allowance in Atlanta?","Was ist mein Tagessatz in Atlanta?","¿Cuál es mi asignación diaria en Atlanta?","Qual é minha diária em Atlanta?","Qual è la mia indennità giornaliera ad Atlanta?","Atlanta'da günlük harcırahım ne kadar?"
EMP_GUS_02_TRAVEL,17,joule_response_text,"The HR policy for per diem in high-cost cities like Atlanta follows the GSA guidelines. For Atlanta, the current per diem rate is $89 per day for meals and incidental expenses. This ensures that you are adequately compensated for the higher cost of living while traveling for the project.","Die Personalpolitik für Tagegeld in teuren Städten wie Atlanta folgt den GSA-Richtlinien. Für Atlanta beträgt der aktuelle Tagegeldsatz 89 $ pro Tag für Mahlzeiten und Nebenkosten. Dies stellt sicher, dass Sie für die höheren Lebenshaltungskosten während der Projektreise angemessen entschädigt werden.","La política de RR.HH. para viáticos en ciudades de alto costo como Atlanta sigue las pautas de GSA. Para Atlanta, la tarifa de viáticos actual es de $89 por día para comidas y gastos incidentales. Esto garantiza que esté adecuadamente compensado por el mayor costo de vida mientras viaja para el proyecto.","A política de RH para diárias em cidades de alto custo como Atlanta segue as diretrizes da GSA. Para Atlanta, a taxa de diária atual é de $89 por dia para refeições e despesas incidentais. Isso garante que você seja adequadamente compensado pelo maior custo de vida ao viajar para o projeto.","La politica HR per le diarie nelle città ad alto costo come Atlanta segue le linee guida GSA. Per Atlanta, l'attuale tariffa giornaliera è di $89 al giorno per pasti e spese accessorie. Questo assicura che tu sia adeguatamente compensato per il costo della vita più elevato mentre viaggi per il progetto.","Atlanta gibi yüksek maliyetli şehirlerde harcırah politikası GSA yönergelerini takip eder. Atlanta için mevcut günlük harcırah, yemek ve yan giderler için günlük 89 dolardır. Bu, proje seyahati sırasında artan yaşam maliyetlerinin karşılanmasını sağlar."
EMP_GUS_02_TRAVEL,19,completion_message,"Joule saved the day! I booked my flight and I'm ready for this trip!","Joule hat den Tag gerettet! Ich habe meinen Flug gebucht und bin bereit für diese Reise!","¡Joule salvó el día! ¡Reservé mi vuelo y estoy listo para este viaje!","Joule salvou o dia! Reservei meu voo e estou pronto para esta viagem!","Joule ha salvato la giornata! Ho prenotato il mio volo e sono pronto per questo viaggio!","Joule günü kurtardı! Uçuşumu rezerve ettim ve bu seyahat için hazırım!"
EMP_GUS_03_PAYROLL,1,scenario_title,"Help! I've Been Paid Too Much","Hilfe! Ich wurde zu viel bezahlt","¡Ayuda! Me pagaron demasiado","Ajuda! Fui pago demais","Aiuto! Mi hanno pagato troppo","Yardım! Fazla ödeme aldım"
EMP_GUS_03_PAYROLL,1,scenario_description,"Your payslip looks higher than expected.","Ihre Gehaltsabrechnung sieht höher aus als erwartet.","Tu recibo de pago se ve más alto de lo esperado.","Seu contracheque parece mais alto do que o esperado.","La tua busta paga sembra più alta del previsto.","Maaş bordron beklenenden daha yüksek görünüyor."
EMP_GUS_03_PAYROLL,1,choice_a_label,"Ignore it","Ignorieren","Ignorarlo","Ignorar","Ignoralo","Görmezden gel"
EMP_GUS_03_PAYROLL,1,choice_b_label,"Check with Joule","Mit Joule prüfen","Consultar con Joule","Verificar com Joule","Controlla con Joule","Joule ile kontrol et"
EMP_GUS_03_PAYROLL,2,joule_response_text,"You later need to explain the overpayment to HR.","Sie müssen später die Überzahlung der Personalabteilung erklären.","Más tarde necesitas explicar el sobrepago a RR.HH.","Você precisará explicar o pagamento excessivo ao RH mais tarde.","In seguito dovrai spiegare il pagamento in eccesso alle Risorse Umane.","Daha sonra fazla ödemeyi İK'ya açıklaman gerekecek."
EMP_GUS_03_PAYROLL,4,user_input_text,"Can you explain my latest payslip?","Können Sie meine letzte Gehaltsabrechnung erklären?","¿Puedes explicar mi último recibo de pago?","Você pode explicar meu último contracheque?","Puoi spiegarmi la mia ultima busta paga?","Son maaş bordromu açıklayabilir misin?"
EMP_GUS_03_PAYROLL,5,joule_response_text,"Here is your payslip for December 2024:","Hier ist Ihre Gehaltsabrechnung für Dezember 2024:","Aquí está tu recibo de pago de diciembre de 2024:","Aqui está seu contracheque de dezembro de 2024:","Ecco la tua busta paga di dicembre 2024:","Aralık 2024 maaş bordron burada:"
EMP_GUS_03_PAYROLL,7,user_input_text,"I was expecting my usual salary. Why is this higher?","Ich habe mein übliches Gehalt erwartet. Warum ist das höher?","Esperaba mi salario habitual. ¿Por qué es más alto?","Eu estava esperando meu salário habitual. Por que está mais alto?","Mi aspettavo il mio stipendio abituale. Perché questo è più alto?","Her zamanki maaşımı bekliyordum. Bu neden daha yüksek?"
EMP_GUS_03_PAYROLL,8,joule_response_text,"You received your annual performance bonus based on your excellent work this year. Congratulations!","Sie haben Ihren jährlichen Leistungsbonus aufgrund Ihrer hervorragenden Arbeit in diesem Jahr erhalten. Herzlichen Glückwunsch!","Recibiste tu bono anual de rendimiento basado en tu excelente trabajo este año. ¡Felicitaciones!","Você recebeu seu bônus anual de desempenho com base em seu excelente trabalho este ano. Parabéns!","Hai ricevuto il tuo bonus annuale di performance grazie all'eccellente lavoro di quest'anno. Congratulazioni!","Bu yılki mükemmel performansın nedeniyle yıllık performans primini aldın. Tebrikler!"
EMP_GUS_03_PAYROLL,9,user_input_text,"That's great news! Can you show me a breakdown?","Das sind großartige Neuigkeiten! Können Sie mir eine Aufschlüsselung zeigen?","¡Son excelentes noticias! ¿Puedes mostrarme un desglose?","Essa é uma ótima notícia! Você pode me mostrar um detalhamento?","Che bella notizia! Puoi mostrarmi una ripartizione?","Harika haber! Detaylı dökümü gösterebilir misin?"
EMP_GUS_03_PAYROLL,10,joule_response_text,"Here is the detailed breakdown:","Hier ist die detaillierte Aufschlüsselung:","Aquí está el desglose detallado:","Aqui está o detalhamento:","Ecco la ripartizione dettagliata:","Detaylı döküm burada:"
EMP_GUS_03_PAYROLL,12,completion_message,"Mystery solved! Joule helped me understand my payslip and I learned about my bonus!","Geheimnis gelüftet! Joule hat mir geholfen, meine Gehaltsabrechnung zu verstehen und ich habe von meinem Bonus erfahren!","¡Misterio resuelto! ¡Joule me ayudó a entender mi recibo de pago y me enteré de mi bono!","Mistério resolvido! Joule me ajudou a entender meu contracheque e descobri sobre meu bônus!","Mistero risolto! Joule mi ha aiutato a capire la mia busta paga e ho scoperto il mio bonus!","Gizem çözüldü! Joule maaş bordromu anlamama yardımcı oldu ve primim hakkında bilgi edindim!"
EMP_GUS_04_PRESENTATION,1,scenario_title,"Fake It Till You Make It","Tu so, als ob","Finge hasta que lo logres","Finja até conseguir","Fingi finché non ci riesci","Başarıncaya kadar taklit et"
EMP_GUS_04_PRESENTATION,1,scenario_description,"","","","","",""
EMP_GUS_04_PRESENTATION,1,choice_a_label,"Wing it","Improvisieren","Improvisar","Improvisar","Improvvisare","Doğaçlama yap"
EMP_GUS_04_PRESENTATION,1,choice_b_label,"Prepare with Joule","Mit Joule vorbereiten","Preparar con Joule","Preparar com Joule","Preparare con Joule","Joule ile hazırlan"
EMP_GUS_04_PRESENTATION,2,joule_response_text,"The presentation was a disaster. Your manager is not impressed.","Die Präsentation war ein Desaster. Ihr Manager ist nicht beeindruckt.","La presentación fue un desastre. Tu gerente no está impresionado.","A apresentação foi um desastre. Seu gerente não ficou impressionado.","La presentazione è stata un disastro. Il tuo manager non è impressionato.","Sunum bir felaketti. Yöneticiniz etkilenmedi."
EMP_GUS_04_PRESENTATION,4,user_input_text,"I need to create a presentation about our team's Q4 performance. Can you help?","Ich muss eine Präsentation über die Q4-Leistung unseres Teams erstellen. Können Sie helfen?","Necesito crear una presentación sobre el rendimiento del cuarto trimestre de nuestro equipo. ¿Puedes ayudar?","Preciso criar uma apresentação sobre o desempenho do Q4 da nossa equipe. Você pode ajudar?","Devo creare una presentazione sulle performance del Q4 del nostro team. Puoi aiutare?","Ekibimizin 4. çeyrek performansı hakkında bir sunum oluşturmam gerekiyor. Yardımcı olabilir misiniz?"
EMP_GUS_04_PRESENTATION,5,joule_response_text,"Of course! I can help you create a comprehensive presentation. What specific metrics would you like to highlight?","Natürlich! Ich kann Ihnen helfen, eine umfassende Präsentation zu erstellen. Welche spezifischen Metriken möchten Sie hervorheben?","¡Por supuesto! Puedo ayudarte a crear una presentación completa. ¿Qué métricas específicas te gustaría destacar?","Claro! Posso ajudá-lo a criar uma apresentação abrangente. Quais métricas específicas você gostaria de destacar?","Certo! Posso aiutarti a creare una presentazione completa. Quali metriche specifiche vorresti evidenziare?","Tabii! Kapsamlı bir sunum oluşturmanıza yardımcı olabilirim. Hangi spesifik metrikleri vurgulamak istersiniz?"
EMP_GUS_04_PRESENTATION,6,user_input_text,"Sales performance, customer satisfaction, and project delivery","Verkaufsleistung, Kundenzufriedenheit und Projektabwicklung","Rendimiento de ventas, satisfacción del cliente y entrega de proyectos","Desempenho de vendas, satisfação do cliente e entrega de projetos","Performance delle vendite, soddisfazione del cliente e consegna del progetto","Satış performansı, müşteri memnuniyeti ve proje teslimatı"
EMP_GUS_04_PRESENTATION,7,joule_response_text,"Great! Let me pull together the data and create visualizations for you.","Großartig! Lassen Sie mich die Daten zusammenstellen und Visualisierungen für Sie erstellen.","¡Genial! Déjame reunir los datos y crear visualizaciones para ti.","Ótimo! Deixe-me reunir os dados e criar visualizações para você.","Perfetto! Lascia che raccolga i dati e crei visualizzazioni per te.","Harika! Verileri toplayıp sizin için görselleştirmeler oluşturayım."
EMP_GUS_04_PRESENTATION,8,joule_response_text,"Here's an overview of your team's Q4 performance:","Hier ist ein Überblick über die Q4-Leistung Ihres Teams:","Aquí hay una descripción general del rendimiento del cuarto trimestre de tu equipo:","Aqui está uma visão geral do desempenho do Q4 da sua equipe:","Ecco una panoramica delle performance del Q4 del tuo team:","Ekibinizin 4. çeyrek performansına genel bakış:"
EMP_GUS_04_PRESENTATION,10,user_input_text,"This is perfect! Can you also add customer feedback highlights?","Das ist perfekt! Können Sie auch Highlights des Kundenfeedbacks hinzufügen?","¡Esto es perfecto! ¿Puedes también agregar aspectos destacados de comentarios de clientes?","Isso é perfeito! Você também pode adicionar destaques de feedback de clientes?","Questo è perfetto! Puoi anche aggiungere i punti salienti del feedback dei clienti?","Bu mükemmel! Müşteri geri bildirimi önemli noktalarını da ekleyebilir misiniz?"
EMP_GUS_04_PRESENTATION,11,joule_response_text,"Absolutely! Here are the key customer satisfaction insights:","Absolut! Hier sind die wichtigsten Erkenntnisse zur Kundenzufriedenheit:","¡Absolutamente! Aquí están las principales ideas de satisfacción del cliente:","Absolutamente! Aqui están os principais insights de satisfação do cliente:","Assolutamente! Ecco le principali informazioni sulla soddisfazione del cliente:","Kesinlikle! İşte önemli müşteri memnuniyeti içgörüleri:"
EMP_GUS_04_PRESENTATION,13,completion_message,"Presentation ready! Thanks to Joule, I have a data-driven, professional presentation that will impress everyone!","Präsentation fertig! Dank Joule habe ich eine datengesteuerte, professionelle Präsentation, die jeden beeindrucken wird!","¡Presentación lista! Gracias a Joule, tengo una presentación profesional basada en datos que impresionará a todos!","Apresentação pronta! Graças ao Joule, tenho uma apresentação profissional baseada em dados que impressionará a todos!","Presentazione pronta! Grazie a Joule, ho una presentazione professionale basata sui dati che impressionerà tutti!","Sunum hazır! Joule sayesinde herkesi etkileyecek veri odaklı, profesyonel bir sunumum var!"
MGR_JADA_01_ONBOARDING,1,scenario_title,"Mullet Party First Day","Vokuhila-Party am ersten Tag","Fiesta mullet el primer día","Festa mullet no primeiro dia","Festa mullet al primo giorno","İlk gün partisi"
MGR_JADA_01_ONBOARDING,1,scenario_description,"","","","","",""
MGR_JADA_01_ONBOARDING,1,choice_a_label,"Send a generic welcome email","Eine generische Willkommens-E-Mail senden","Enviar un correo de bienvenida genérico","Enviar um e-mail de boas-vindas genérico","Invia un'email di benvenuto generica","Genel bir hoş geldin e-postası gönder"
MGR_JADA_01_ONBOARDING,1,choice_b_label,"Prepare personalized onboarding with Joule","Personalisiertes Onboarding mit Joule vorbereiten","Preparar incorporación personalizada con Joule","Preparar integração personalizada com Joule","Preparare un onboarding personalizzato con Joule","Joule ile kişiselleştirilmiş işe alım hazırla"
MGR_JADA_01_ONBOARDING,2,joule_response_text,"Your new hire feels lost and unprepared on their first day.","Ihr neuer Mitarbeiter fühlt sich an seinem ersten Tag verloren und unvorbereitet.","Tu nuevo empleado se siente perdido y sin preparación en su primer día.","Seu novo contratado se sente perdido e despreparado no primeiro dia.","Il tuo nuovo assunto si sente perso e impreparato il primo giorno.","Yeni işe aldığınız kişi ilk günü kayıp ve hazırlıksız hissediyor."
MGR_JADA_01_ONBOARDING,4,user_input_text,"I need to prepare for Gus's first day. What tasks need to be completed?","Ich muss mich auf Gus' ersten Tag vorbereiten. Welche Aufgaben müssen erledigt werden?","Necesito prepararme para el primer día de Gus. ¿Qué tareas deben completarse?","Preciso me preparar para o primeiro dia de Gus. Quais tarefas precisam ser concluídas?","Devo prepararmi per il primo giorno di Gus. Quali compiti devono essere completati?","Gus'un ilk günü için hazırlanmam gerekiyor. Hangi görevler tamamlanmalı?"
MGR_JADA_01_ONBOARDING,5,joule_response_text,"Here is a comprehensive onboarding checklist for Gus:","Hier ist eine umfassende Onboarding-Checkliste für Gus:","Aquí hay una lista de verificación completa de incorporación para Gus:","Aqui está uma lista de verificação abrangente de integração para Gus:","Ecco una lista di controllo completa per l'onboarding di Gus:","Birden fazla Gus bulundu, aşağıdakilerden hangisi ile ilerlemek istediğinizi seçin:"
MGR_JADA_01_ONBOARDING,6,joule_response_text,"Got it! To proceed, please provide a note to the new hire.","Verstanden! Um fortzufahren, geben Sie bitte eine Notiz für den neuen Mitarbeiter an.","¡Entendido! Para continuar, proporcione una nota para el nuevo empleado.","Entendido! Para prosseguir, forneça uma nota para o novo contratado.","Capito! Per procedere, fornire una nota per il nuovo assunto.","Anlaşıldı! Devam etmek için yeni işe alınan kişiye bir not sağlayın."
MGR_JADA_01_ONBOARDING,7,action_label,"Draft a note for me","Entwerfen Sie eine Notiz für mich","Redacta una nota para mí","Redija uma nota para mim","Redigi una nota per me","Benim için bir not taslağı oluştur"
MGR_JADA_01_ONBOARDING,8,joule_response_text,"I recommend Tory Stevens as an onboarding buddy. Here's why:","Ich empfehle Tory Stevens als Onboarding-Buddy. Hier ist warum:","Recomiendo a Tory Stevens como compañero de incorporación. Aquí está por qué:","Recomendo Tory Stevens como companheiro de integração. Aqui está o porquê:","Raccomando Tory Stevens come buddy per l'onboarding. Ecco perché:","Tory Stevens'ı onboarding buddy olarak öneriyorum. İşte nedeni:"
